Admin2,9/19/20
Anne Arundel,9559
Baltimore,17365
Baltimore City,15204
Calvert,905
Caroline,632
Carroll,1900
Cecil,985
Charles,2686
Dorchester,568
Frederick,3896
Garrett,72
Harford,2915
Howard,4912
Kent,295
Montgomery,21760
Out of MD,0
Prince George's,28495
Queen Anne's,634
Somerset,244
St. Mary's,1248
Talbot,528
Unassigned,0
Washington,1627
Wicomico,1879
Worcester,992
Barnstable,1705
Berkshire,701
Bristol,9746
Dukes,0
Dukes and Nantucket,150
Essex,19022
Franklin,403
Hampden,7966
Hampshire,1205
Middlesex,26644
Nantucket,0
Norfolk,10015
Out of MA,0
Plymouth,9516
Suffolk,23674
Unassigned,2384
Worcester,14050
Alcona,41
Alger,17
Allegan,729
Alpena,139
Antrim,66
Arenac,69
Baraga,13
Barry,272
Bay,956
Benzie,69
Berrien,1784
Branch,568
Calhoun,1222
Cass,514
Charlevoix,94
Cheboygan,88
Chippewa,75
Clare,108
Clinton,620
Crawford,118
Delta,261
Dickinson,97
Eaton,610
Emmet,152
Federal Correctional Institution (FCI),195
Genesee,4267
Gladwin,91
Gogebic,153
Grand Traverse,455
Gratiot,244
Hillsdale,325
Houghton,300
Huron,214
Ingham,3158
Ionia,349
Iosco,190
Iron,66
Isabella,652
Jackson,980
Kalamazoo,2580
Kalkaska,79
Kent,9342
Keweenaw,7
Lake,32
Lapeer,580
Leelanau,108
Lenawee,779
Livingston,1312
Luce,12
Mackinac,54
Macomb,13971
Manistee,69
Marquette,315
Mason,133
Mecosta,186
Menominee,302
Michigan Department of Corrections (MDOC),5563
Midland,553
Missaukee,58
Monroe,1458
Montcalm,289
Montmorency,14
Muskegon,1444
Newaygo,317
Oakland,19884
Oceana,513
Ogemaw,61
Ontonagon,42
Osceola,89
Oscoda,30
Otsego,168
Ottawa,3146
Out of MI,204
Presque Isle,26
Roscommon,88
Saginaw,2863
Sanilac,144
Schoolcraft,21
Shiawassee,491
St. Clair,977
St. Joseph,726
Tuscola,488
Unassigned,4
Van Buren,738
Washtenaw,3305
Wayne,34082
Wexford,119
Aitkin,70
Anoka,5664
Becker,242
Beltrami,371
Benton,500
Big Stone,66
Blue Earth,1578
Brown,168
Carlton,235
Carver,1330
Cass,123
Chippewa,189
Chisago,433
Clay,1232
Clearwater,25
Cook,6
Cottonwood,216
Crow Wing,419
Dakota,7048
Dodge,190
Douglas,236
Faribault,130
Fillmore,105
Freeborn,511
Goodhue,324
Grant,57
Hennepin,25628
Houston,107
Hubbard,76
Isanti,244
Itasca,271
Jackson,128
Kanabec,103
Kandiyohi,918
Kittson,12
Koochiching,103
Lac qui Parle,43
Lake,53
Lake of the Woods,20
Le Sueur,443
Lincoln,101
Lyon,638
Mahnomen,45
Marshall,48
